School,W,L,OSRS,DSRS,SRS,OffPts,DefPts,PassOff,PassDef,RushOff,RushDef,TotOff,TotDef,Conference,Year
Utah,11,3,1.16,13.7,14.86,47.4,-1.16,11.81,3.92,6.01,1.96,7.89,3.11,PAC-12,2019
Washington,8,5,4.24,8.14,12.38,47.23,2.94,9.76,4.06,5.47,2.73,7.23,3.49,PAC-12,2019
USC,8,5,10.4,-1.53,8.87,52.49,13.39,11,4.63,5.56,3.25,8.3,4.15,PAC-12,2019
Arizona State,8,5,-0.21,4.93,4.72,39.93,6.03,10.34,5.29,4.86,2.4,7.14,3.97,PAC-12,2019
Washington State,6,7,9.65,-5.79,3.86,54.2,17.2,10.04,6.35,5.57,3.78,8.56,5.31,PAC-12,2019
California,8,5,-3.76,7.15,3.39,37.13,5.01,8.94,4.89,4.97,2.44,6.52,3.79,PAC-12,2019
Oregon State,5,7,6.03,-4.02,2.01,47.82,16.26,9.31,5.67,5.92,3.14,7.37,4.42,PAC-12,2019
Colorado,5,7,-0.09,0.07,-0.02,41.03,13.58,9.21,5.45,5.59,3.27,7.06,4.71,PAC-12,2019
UCLA,4,8,3.38,-3.93,-0.55,45.12,18.13,9.4,6.67,5.27,3.02,6.92,4.99,PAC-12,2019
Stanford,4,8,-2.36,-0.02,-2.38,39.28,10.75,9.56,5.99,5.16,3.09,7.29,4.63,PAC-12,2019
Arizona,4,8,2.33,-6.57,-4.25,42.98,19.25,9.54,5.76,5.95,3.62,7.43,4.77,PAC-12,2019
Clemson,14,1,5.67,15.37,21.04,59.24,-4.79,10.31,3.74,7.9,1.64,8.93,2.72,ACC,2019
North Carolina,7,6,5.95,0.43,6.38,49.7,9.63,10.78,5.78,6.38,2.75,8.25,4.24,ACC,2019
Virginia,9,5,5.89,0.4,6.29,48.76,12.42,9.24,6.11,5.46,2.68,7.39,4.31,ACC,2019
Virginia Tech,8,5,3.48,-0.11,3.37,45.07,12.72,10.35,5.46,5.4,2.91,7.15,4.23,ACC,2019
Wake Forest,8,5,4.75,-1.52,3.23,46.56,14.4,9.84,5.75,5.33,2.92,7.2,4.42,ACC,2019
Louisville,8,5,8.44,-5.34,3.09,50.19,17.8,12.12,5.94,6.52,3.86,8.36,4.84,ACC,2019
Miami (FL),6,7,-3.58,5.55,1.97,39.64,6.26,9.16,4.89,5.16,2.04,7.12,3.39,ACC,2019
Florida State,6,7,2.21,-0.43,1.78,43.33,11.47,9.81,5.07,5.3,2.19,7.3,3.7,ACC,2019
Pitt,8,5,-4.49,5.09,0.6,34.92,6.49,8.19,4.24,4.87,1.69,6.56,3.05,ACC,2019
Duke,5,7,-1.52,1.63,0.11,41.03,13.17,7.65,4.66,5.1,3.1,6.1,3.77,ACC,2019
Boston College,6,7,3.29,-3.66,-0.37,44.92,17.68,9.65,6.36,6.59,3.45,7.51,4.97,ACC,2019
Syracuse,5,7,-0.75,-2.03,-2.79,42.01,16.19,8.89,5.8,5.06,3.51,6.66,4.69,ACC,2019
North Carolina State,4,8,-7.68,-0.14,-7.82,34.91,14.63,7.46,5.36,5.58,2.58,6.45,4.08,ACC,2019
Georgia Tech,3,9,-5.23,-3.27,-8.49,34.92,18.21,8.34,5.99,5.97,3.56,6.77,4.51,ACC,2019
Oklahoma,12,2,12.84,2.95,15.79,59.44,8.49,12.83,5.22,7.54,2.64,9.53,3.93,BIG-12,2019
Texas,8,5,10.76,1.42,12.18,54.51,8.5,10.08,5.53,6.57,2.59,8.16,4.27,BIG-12,2019
Baylor,11,3,4.33,7.79,12.12,50.26,2.77,9.75,4.25,6.11,2.06,7.68,3.19,BIG-12,2019
Iowa State,7,6,6.42,1.49,7.92,49.78,7.93,10.35,4.85,5.65,2.34,8.04,3.65,BIG-12,2019
Oklahoma State,8,5,5.82,1.56,7.39,49.4,8.87,10.02,5.43,6.87,2.89,8.01,4.17,BIG-12,2019
Kansas State,8,5,1.19,5.84,7.02,45.23,4.19,9.32,5.33,5.9,3.42,7.04,4.49,BIG-12,2019
Texas Christian,5,7,2.67,2.59,5.27,46.26,7.57,7.88,4.44,6.28,2.72,6.84,3.53,BIG-12,2019
Texas Tech,4,8,2.01,-2.66,-0.65,45.68,13.98,9.15,7.21,5.74,2.96,7.51,5.01,BIG-12,2019
West Virginia,5,7,-3.55,0.62,-2.92,37.77,11.26,8.49,5.86,4.19,2.21,6.5,3.83,BIG-12,2019
Kansas,3,9,-1.79,-3.94,-5.73,39.95,18.37,8.79,5.99,6.11,3.38,7.35,4.51,BIG-12,2019
Ohio State,13,1,14.04,13.36,27.39,69.25,-5.17,11.65,3.65,7.7,1.3,9.06,2.54,BIG-TEN,2019
Wisconsin,10,4,5.48,12.25,17.73,55.33,-3.22,10.41,4.05,7.27,1.81,8.35,3.14,BIG-TEN,2019
Penn State,11,2,5.84,11.5,17.34,54.81,-1.55,10,5.21,6.77,1.33,7.99,3.34,BIG-TEN,2019
Michigan,9,4,7.4,8.1,15.5,53.59,0.12,10.44,4.61,5.81,1.38,7.75,2.9,BIG-TEN,2019
Iowa,10,3,0.6,14,14.6,44.55,-4.12,9.42,3.9,5.58,2.16,7.27,3.2,BIG-TEN,2019
Minnesota,11,2,9.23,2.5,11.73,52.38,7.35,12.36,5.43,5.73,2.26,8.06,3.85,BIG-TEN,2019
Michigan State,7,6,-0.23,6.29,6.06,42.68,3.83,9.12,4.7,5.45,1.91,7.13,3.46,BIG-TEN,2019
Indiana,8,5,3.73,2.06,5.79,48.95,8.58,10.34,5.41,5.25,2.6,7.67,4.03,BIG-TEN,2019
Nebraska,5,7,2.91,-0.25,2.67,47.63,10.57,10.07,4.7,6.19,3.53,7.55,4.19,BIG-TEN,2019
Illinois,6,7,2.21,-2.29,-0.08,44.66,13.19,8.67,6.11,5.4,3.46,6.68,4.49,BIG-TEN,2019
Purdue,4,8,4.13,-4.65,-0.52,45.72,13.55,9.34,5.96,4.62,3.23,7.28,4.62,BIG-TEN,2019
Northwestern,3,9,-9.93,6.81,-3.13,33.85,5.22,6.49,4.43,5.51,2.52,5.78,3.51,BIG-TEN,2019
Maryland,3,9,-5.71,2.53,-3.18,44.06,16.39,8.25,5.76,6.56,3.09,7.17,4.43,BIG-TEN,2019
Rutgers,2,10,-10.92,-0.24,-11.16,31.01,17.21,7.84,5.93,5.25,3.49,6.13,4.64,BIG-TEN,2019
LSU,15,0,18.8,7,25.8,68.23,2.05,12.7,4.39,6.8,1.65,9.78,3.15,SEC,2019
Alabama,11,2,13.02,8.09,21.11,64.63,1.9,12.99,4.33,6.79,2.22,9.7,3.26,SEC,2019
Georgia,12,2,2.74,14.9,17.64,50.57,-5.11,9.85,3.95,6.78,0.94,8.07,2.62,SEC,2019
Auburn,9,4,5.92,10.34,16.26,53.09,-1.43,8.9,3.49,6.57,1.61,7.42,2.7,SEC,2019
Florida,11,2,4.83,10.38,15.22,51.94,-0.21,10.49,5.24,6.11,1.78,8.37,3.44,SEC,2019
Texas A&M,8,5,3.06,6.95,10.02,48.63,3.55,8.86,4.48,6.69,2.15,7.69,3.36,SEC,2019
Kentucky,8,5,-0.26,6.18,5.92,42.98,4.66,7.25,4.43,7.8,3.1,7.61,3.8,SEC,2019
Tennessee,8,5,-0.2,5.33,5.13,42.17,5.48,9.83,4.98,5.68,2.01,7.44,3.32,SEC,2019
Mississippi State,6,7,3.51,1.37,4.87,46.75,9.62,9.51,6.51,7.03,2.41,7.89,4.33,SEC,2019
Missouri,6,6,-2.29,5.17,2.88,42.71,5.83,8.8,5.02,5.54,2.19,6.89,3.47,SEC,2019
Ole Miss,4,8,1.16,1.07,2.24,43.8,8.31,9.17,5.78,6.92,2.27,7.72,4.14,SEC,2019
South Carolina,4,8,-0.86,2.2,1.34,44.31,6.89,8.03,5.02,6.49,2.25,7.21,3.58,SEC,2019
Arkansas,2,10,-2.6,-3.98,-6.58,39.79,18.33,7.91,6.01,6.45,3.83,7.02,4.68,SEC,2019
Vanderbilt,3,9,-8.23,-2.05,-10.28,35.27,15.55,7.45,6.73,5.94,3.78,6.58,4.94,SEC,2019
USC,5,1,4.72,0.6,5.32,38.55,17.95,8.05,5.93,3.71,2.99,6.39,4.18,PAC-12,2020
Arizona State,2,2,-1.84,3.59,1.75,43.94,16.2,9.73,6.14,6.79,3.83,8.08,4.62,PAC-12,2020
Oregon,4,3,1.38,-0.58,0.81,38.72,19.9,9.75,6.11,5.67,3.53,7.63,4.4,PAC-12,2020
Utah,3,2,-1.33,1.99,0.67,35.1,18.91,7.88,6.34,5.39,3.2,6.67,4.68,PAC-12,2020
Washington,3,1,0.09,0.02,0.11,33.6,20.52,8.56,6.09,4.41,3.69,6.39,4.48,PAC-12,2020
UCLA,3,4,6.86,-6.97,-0.11,42.75,24.67,8.75,6.61,5.41,2.97,7.01,4.51,PAC-12,2020
Colorado,4,2,0.32,-1.99,-1.66,36.05,22.34,7.59,6.24,5.49,4.53,6.45,5.15,PAC-12,2020
Stanford,4,2,1.66,-4.67,-3,35.93,25.05,8.83,7.78,4.58,4.72,7.03,5.78,PAC-12,2020
Oregon State,2,5,0.86,-8.13,-7.27,36.22,26.79,7.19,6.81,5.9,4.76,6.71,5.39,PAC-12,2020
California,1,3,-12.17,2.06,-10.11,24.58,16.8,6.2,6.36,3.73,3.44,5.15,4.38,PAC-12,2020
Washington State,1,3,-2.62,-8.71,-11.34,34.54,30.06,7.84,7.32,5.42,4.19,6.93,5.6,PAC-12,2020
Arizona,0,5,-11.63,-2.45,-14.08,25.5,29.53,6.87,7.22,4.99,5.11,6.09,5.63,PAC-12,2020
Clemson,10,2,9.1,7.73,16.82,56.39,7.55,9.32,6.55,5.43,2.29,7.59,4.03,ACC,2020
Notre Dame,10,2,2.01,9.31,11.32,44.81,5.31,8.67,6.06,5.99,3.08,7.24,4.46,ACC,2020
North Carolina,8,4,10.1,-3.07,7.03,52.75,18.58,10.96,6.8,6.41,3.63,8.41,5.01,ACC,2020
Miami (FL),8,3,3.33,3.23,6.56,46.32,12.8,8.92,5.54,5.19,3.56,7.04,4.44,ACC,2020
Pitt,6,5,-2.3,3.85,1.54,40.78,13.1,7.63,6.23,4.08,1.84,6.02,3.88,ACC,2020
Virginia Tech,5,6,2.65,-1.14,1.51,43.37,16.78,9.44,6.2,6.54,4.29,7.62,5.07,ACC,2020
North Carolina State,8,4,2.59,-2.25,0.35,40.46,17.6,8.73,6.24,4.13,3.45,6.45,4.66,ACC,2020
Boston College,6,5,0.63,-0.67,-0.04,39.3,15.31,8.77,6.75,3.97,3.78,6.58,5.04,ACC,2020
Wake Forest,4,5,5.56,-5.89,-0.33,48.33,20.57,8.78,6.6,4.72,3.8,6.64,4.94,ACC,2020
Virginia,5,5,0.17,-0.56,-0.39,41.36,15.17,7.71,7.95,5.08,3.02,6.51,5.21,ACC,2020
Louisville,4,7,0.13,-0.91,-0.78,41.65,16.12,9.5,6.69,6.11,4.15,7.64,5.06,ACC,2020
Georgia Tech,3,7,-4.05,-3.8,-7.85,35.93,23.94,7.74,6.79,5.63,3.83,6.6,4.96,ACC,2020
Florida State,3,6,-2.27,-6.6,-8.87,36.41,24.07,6.95,7.02,6.02,4.38,6.52,5.47,ACC,2020
Duke,2,9,-5.36,-7.52,-12.88,35.61,26.58,7,6.91,4.51,4.42,5.75,5.33,ACC,2020
Syracuse,1,10,-10.19,-2.74,-12.92,29.98,18.05,6.52,6.21,4.09,3.82,5.43,4.68,ACC,2020
Oklahoma,9,2,9.57,8.04,17.62,55.57,7.47,10.8,5.43,5.84,2.37,8.09,4.03,BIG-12,2020
Iowa State,9,3,5.1,8.83,13.93,47.13,5.85,9.41,6.15,6.39,2.1,7.71,4.13,BIG-12,2020
Texas,7,3,12.68,-0.73,11.95,57.49,16.09,9.37,5.67,6.52,2.65,7.87,4.19,BIG-12,2020
Oklahoma State,8,3,3.64,6.82,10.46,44.93,8.63,9.27,5.6,5.41,3.05,6.92,4.18,BIG-12,2020
Texas Christian,6,4,2.03,5.38,7.41,43.86,9.58,8.64,6.23,6.49,2.78,7.3,4.38,BIG-12,2020
West Virginia,6,4,-2.14,8.11,5.97,38.98,8.2,8.15,5.48,4.87,2.5,6.54,3.84,BIG-12,2020
Baylor,2,7,-2.02,2.5,0.48,38.02,13.1,7.48,5.69,4.09,3.12,5.78,4.23,BIG-12,2020
Kansas State,4,6,-0.96,0.95,-0.01,40.11,16.64,8.84,6.29,5.68,3.73,6.91,4.93,BIG-12,2020
Texas Tech,4,6,5.64,-7.31,-1.67,43.28,22.72,8.09,6.14,6.12,3.43,7.11,4.69,BIG-12,2020
Kansas,0,9,-7.61,-5.92,-13.53,33,30.63,6.44,6.21,4.07,4.59,5.07,5.31,BIG-12,2020
Ohio State,7,1,16.07,5.3,21.37,54.29,15.02,10.02,7.61,6.97,3.22,8.44,5.41,BIG-TEN,2020
Iowa,6,2,4.26,9.52,13.77,40.54,11.28,6.07,6.75,5.14,2.84,5.9,4.32,BIG-TEN,2020
Indiana,6,2,2.46,11.25,13.71,35.32,10.28,6.87,6.53,3.76,3.72,5.63,4.81,BIG-TEN,2020
Northwestern,7,2,-0.44,12.99,12.55,34.07,8.19,6.02,5.36,4.51,4,5.35,4.27,BIG-TEN,2020
Wisconsin,4,3,-3.47,12.09,8.62,35.12,9.06,6.34,7.08,4.13,3,5.34,4.77,BIG-TEN,2020
Penn State,4,5,3,1.21,4.22,37.34,20.14,7.28,7.04,4.38,3.22,5.91,4.57,BIG-TEN,2020
Maryland,2,3,1.19,-0.7,0.49,35.05,26.24,8.72,7.01,5.02,4.94,7.27,5.55,BIG-TEN,2020
Nebraska,3,5,-2.27,2.41,0.14,32.45,20.82,6.32,7.78,5.32,3.73,6.02,5.14,BIG-TEN,2020
Purdue,2,4,2.79,-2.97,-0.18,36.49,24.65,6.88,9.21,3.49,3.04,6.16,5.51,BIG-TEN,2020
Michigan,2,4,4.17,-5.42,-1.25,38.32,29.41,7.14,8.13,5.07,4.44,6.56,5.77,BIG-TEN,2020
Minnesota,3,4,1.6,-2.93,-1.32,34.7,23.73,7.02,8.22,5.11,5.97,6.07,6.5,BIG-TEN,2020
Rutgers,3,6,0.64,-3.02,-2.38,33.24,24.58,5.25,7.87,4.38,4.36,5.1,5.36,BIG-TEN,2020
Michigan State,2,5,-4.39,1.47,-2.93,29.85,25.29,7.29,7.27,3.48,3.57,5.67,4.96,BIG-TEN,2020
Illinois,2,6,-3.22,-3.17,-6.39,31.16,28.56,6.32,9.9,5.52,5.13,6.09,6.65,BIG-TEN,2020
Alabama,13,0,16.47,13.79,30.26,60.07,7.32,11.74,5.46,5.8,2.74,8.73,3.87,SEC,2020
Georgia,8,2,8.12,11.21,19.33,44.08,9.25,9.23,6,5.43,1.84,7.33,3.8,SEC,2020
Florida,8,4,15.62,1.23,16.85,50.2,19.24,10.34,6.44,4.95,4.04,8.14,4.98,SEC,2020
Texas A&M,9,1,6.11,10.13,16.24,41.84,10.7,8.3,5.99,6,3.02,7.22,4.28,SEC,2020
Auburn,6,5,1.86,7.75,9.61,36.73,13.9,7.63,6.41,5.35,3.8,6.63,4.72,SEC,2020
Ole Miss,5,5,16.11,-8.05,8.07,49.75,29.22,11.05,7.4,5,5.21,7.75,5.91,SEC,2020
LSU,5,5,6.89,-0.25,6.64,41.17,23.76,8.2,8.44,3.74,4.58,6.3,6.15,SEC,2020
Kentucky,5,6,-2.66,8.79,6.12,31.44,14.91,6.12,5.66,5.67,4.02,6,4.44,SEC,2020
Arkansas,3,7,2.36,1.63,3.99,37.1,21.27,9.17,5.24,4.72,4.26,6.72,4.36,SEC,2020
Mississippi State,4,7,-1.21,5.15,3.94,32.74,17.24,6.76,6.28,2.98,3.03,5.84,4.45,SEC,2020
Missouri,5,5,2.35,-0.43,1.92,36.76,22.71,8.06,6.95,4.54,4.37,6.51,5.2,SEC,2020
Tennessee,3,7,-0.72,2.21,1.49,32.9,19.66,8.17,7.43,4.41,3.04,6.24,4.74,SEC,2020
South Carolina,2,8,-1.92,-1.46,-3.38,33.12,26.2,6.86,7.83,5.06,4.52,6.04,5.59,SEC,2020
Vanderbilt,0,9,-10.91,-0.7,-11.61,23.07,27.45,7.03,8.06,3.48,5.46,5.38,6.39,SEC,2020
Utah,10,4,7.83,4.43,12.26,50.69,6.88,9.24,5.08,6.65,2.43,7.66,3.83,PAC-12,2021
UCLA,8,4,9.09,-1.85,7.25,51.89,13.48,9.97,5.54,6.27,2.98,7.72,4.38,PAC-12,2021
Arizona State,8,5,1.79,4.7,6.49,42.5,7.44,9.79,5.14,6.17,2.72,7.55,3.86,PAC-12,2021
Oregon,10,4,5.23,0.99,6.22,46.99,10.97,9.47,5.21,6.36,2.78,7.61,4,PAC-12,2021
Oregon State,7,6,4.43,-0.27,4.16,45.99,12.53,9.96,5.83,6.22,3.38,7.67,4.57,PAC-12,2021
Washington State,7,6,1.6,1.45,3.05,42.05,10.69,9.03,4.87,4.9,3.66,6.98,4.32,PAC-12,2021
California,5,7,-4.66,3.34,-1.32,36.14,8.64,8.55,5.11,5.54,3.25,6.93,4.2,PAC-12,2021
USC,4,8,3.16,-4.86,-1.7,45.02,17.23,9.12,7.11,5.45,3.51,7.31,5.13,PAC-12,2021
Washington,4,8,-7.01,2.36,-4.65,35.21,9.3,8.32,3.88,4.02,3.76,6.14,3.82,PAC-12,2021
Stanford,3,9,-3.89,-1.9,-5.79,37.6,16.46,8.99,5.81,4.39,4.54,6.68,5.1,PAC-12,2021
Colorado,4,8,-6.43,-0.16,-6.6,35.13,12.26,7.8,5.59,4.64,3.71,5.84,4.76,PAC-12,2021
Arizona,1,11,-7.97,-4.43,-12.4,32.76,17.33,8.13,6.62,4.82,3.48,6.33,4.71,PAC-12,2021
Pitt,11,3,8.83,3.49,12.32,54.11,8,9.87,5.82,4.97,1.31,7.43,3.73,ACC,2021
Clemson,10,3,-0.61,12.04,11.43,42.78,-1.29,7.66,4.45,6.1,1.62,6.73,3.14,ACC,2021
Wake Forest,11,3,14.35,-3.07,11.28,56.6,14.06,9.69,5.61,5.29,3.64,7.31,4.66,ACC,2021
North Carolina State,9,3,3.23,6.99,10.22,47.29,3.95,9.35,4.62,5.28,2.66,7.37,3.68,ACC,2021
Miami (FL),7,5,5.43,-0.33,5.09,49.34,11.2,9.62,5.05,5.02,2.68,7.4,3.9,ACC,2021
Louisville,6,7,4.42,-0.38,4.03,47.81,11.38,10.25,5.76,6.58,2.97,8.04,4.51,ACC,2021
North Carolina,6,7,8.34,-4.57,3.77,50.12,15.71,10.16,6.54,6.56,3.68,8.03,4.87,ACC,2021
Virginia,6,6,5.39,-3.15,2.24,49.03,14.63,9.82,5.97,5.5,4.57,8.09,5.23,ACC,2021
Florida State,5,7,0.34,0.3,0.64,42.78,10.17,8.78,5.58,5.93,2.3,7.09,3.83,ACC,2021
Syracuse,5,7,-0.11,-0.06,-0.17,41.48,11.54,8.04,5.88,6.62,2.35,7.08,3.96,ACC,2021
Virginia Tech,6,7,-3.13,2.8,-0.33,37.57,9.31,8.55,5.9,5.72,3.62,6.72,4.58,ACC,2021
Boston College,6,6,-4.48,3.48,-1,37.33,9.07,8.62,5.79,5.27,3.23,6.56,4.37,ACC,2021
Georgia Tech,3,9,-0.27,-1.63,-1.91,40.41,16.52,8.57,8.13,5.77,3.27,6.9,5.23,ACC,2021
Duke,3,9,-6.09,-5.67,-11.76,34.45,23.85,7.95,7.6,4.87,4.19,6.21,5.79,ACC,2021
Oklahoma State,12,2,4.66,9.9,14.57,48.12,0.93,8.81,4.42,5.63,1.07,6.85,2.91,BIG-12,2021
Baylor,12,2,3.59,9.91,13.5,47.25,1.38,9.47,5.38,6.9,1.86,7.81,3.67,BIG-12,2021
Oklahoma,11,2,10.13,1.63,11.75,55.09,9.31,10.18,5.66,6.96,2.21,8.37,4.14,BIG-12,2021
Kansas State,8,5,2.17,6.95,9.12,42.5,4.05,9.98,5.6,6.11,2.36,7.6,3.85,BIG-12,2021
Iowa State,7,6,3.01,6.07,9.08,47.87,4.79,9.36,5.31,6.65,2.09,7.92,3.66,BIG-12,2021
Texas,5,7,8.31,-3.2,5.11,52.84,14.2,9.42,5.05,6.83,3.53,7.84,4.4,BIG-12,2021
Texas Tech,7,6,4.84,-2.27,2.57,45.66,13.98,10.1,5.76,6.15,2.67,7.9,4.3,BIG-12,2021
