School,W,L,OSRS,DSRS,SRS,OffPts,DefPts,PassOff,PassDef,RushOff,RushDef,TotOff,TotDef,Conference,Year
West Virginia,6,7,-2.25,3.79,1.54,41.58,6.89,8.81,5.44,4.98,2.29,6.77,3.89,BIG-12,2021
Texas Christian,5,7,3.91,-4.36,-0.45,45.22,18.11,10.98,7.62,6.63,4.27,8.2,5.71,BIG-12,2021
Kansas,2,10,-3.11,-8.01,-11.12,36.75,25.09,8.47,7.01,5.37,4.4,6.56,5.54,BIG-12,2021
Michigan,12,2,9.68,10.12,19.8,55.61,-0.02,10.39,4.35,6.76,2.35,8.13,3.44,BIG-TEN,2021
Ohio State,11,2,14.31,5.23,19.53,64.59,5.93,12.05,4.83,7.05,2.43,9.6,3.81,BIG-TEN,2021
Michigan State,11,2,9.07,5.34,14.41,49.29,6.45,10.19,5.26,6.25,2.4,7.9,4.01,BIG-TEN,2021
Wisconsin,9,4,2.18,11.69,13.87,46.53,-0.33,9.04,4.44,6.35,1.01,7.24,2.9,BIG-TEN,2021
Penn State,7,6,2.42,8.8,11.22,43.91,0.35,9.14,4.34,4.88,2.41,6.98,3.4,BIG-TEN,2021
Purdue,9,4,4.33,6.25,10.58,48.07,4.63,10.3,5.39,4.47,2.94,7.72,4.2,BIG-TEN,2021
Minnesota,9,4,2.13,8.04,10.17,44.07,2.08,10.34,4.77,5.9,2.4,7.19,3.61,BIG-TEN,2021
Iowa,10,4,0.36,9.09,9.45,42.78,2.43,8.42,4.46,4.95,1.78,6.38,3.22,BIG-TEN,2021
Nebraska,3,9,2.13,4.97,7.1,47.31,4.68,11.39,4.64,6.03,2.79,8.1,3.82,BIG-TEN,2021
Maryland,7,6,3.12,0.32,3.44,48.05,14.88,10.13,6.29,5.63,2.78,7.88,4.5,BIG-TEN,2021
Illinois,5,7,-2.69,4.88,2.2,39.13,5.63,7.56,5.17,5.85,2.76,6.47,3.83,BIG-TEN,2021
Rutgers,5,8,-6.99,5.66,-1.32,36.47,8.94,7.75,6.8,5.05,2.94,6.13,4.63,BIG-TEN,2021
Indiana,2,10,-5.16,0.46,-4.7,37.04,13.57,7.53,5.12,4.87,2.92,5.99,3.94,BIG-TEN,2021
Northwestern,3,9,-5.94,0.22,-5.72,35.28,14.58,7.71,5.61,5.34,4.15,6.28,4.92,BIG-TEN,2021
Georgia,14,1,5.85,18.77,24.62,56.58,-8.14,11.11,3.59,6.84,0.97,8.59,2.52,SEC,2021
Alabama,13,2,11.88,7.75,19.62,58.67,1.83,11.03,4.94,5.62,1.2,8.24,3.11,SEC,2021
Arkansas,9,4,5.88,5.66,11.54,48.72,5.49,10.85,5.48,6.61,2.71,8,3.91,SEC,2021
Ole Miss,10,3,8.27,3.16,11.43,51.07,7.12,10.18,4.87,6.41,3.11,7.89,3.93,SEC,2021
Texas A&M,8,4,0.53,10.25,10.77,44.76,0.58,8.53,4.17,6.63,2.63,7.42,3.44,SEC,2021
Kentucky,10,3,4.42,4.32,8.73,46.63,6.83,9.61,5.53,6.47,2.95,7.69,4.28,SEC,2021
Tennessee,7,6,9.62,-1.65,7.97,56.08,12.67,10.76,5.43,6.31,2.67,7.99,4.02,SEC,2021
Auburn,6,7,1.62,5.04,6.66,47.31,4.85,8.93,5.18,6.37,2.53,7.54,3.89,SEC,2021
Mississippi State,7,6,2.28,2.73,5.01,45.91,9.32,8.92,5.66,4.35,2.34,7.38,4.05,SEC,2021
LSU,6,7,3.07,1.67,4.74,44.31,9.05,9.29,5.35,4.86,2.56,6.95,3.97,SEC,2021
Florida,6,7,4.82,-0.46,4.37,46.67,10.74,9.83,5,6.79,3.19,8.05,4.11,SEC,2021
South Carolina,7,6,-2.21,4.29,2.08,39.58,7.44,9.14,5.38,5.13,3.11,6.78,4.13,SEC,2021
Missouri,6,7,6.04,-5.66,0.37,46.56,18.47,8.46,6.21,6.38,3.83,7.3,5.02,SEC,2021
Vanderbilt,2,10,-9.19,-3.42,-12.61,30.46,20.09,7.36,6.36,4.62,4.38,5.85,5.4,SEC,2021
Utah,10,4,7.71,7.09,14.8,54.01,3.31,9.63,5.47,6.18,2.71,7.6,4.2,PAC-12,2022
Oregon,10,3,10.86,2.58,13.44,54.67,9.34,10.24,5.12,6.48,2.98,8.06,4.2,PAC-12,2022
Oregon State,10,3,5.31,7.33,12.64,47.6,3,9.73,4.52,5.68,2.71,7.17,3.76,PAC-12,2022
USC,11,3,14.16,-2.03,12.13,58.34,11.86,11.12,6.08,5.85,3.89,8.42,5.1,PAC-12,2022
Washington,11,2,10.76,0.8,11.56,54.85,10.09,10.09,6.11,5.53,2.41,8.01,4.22,PAC-12,2022
UCLA,9,4,10.72,-1.83,8.88,52.78,12.3,9.8,5.45,6.74,2.9,7.99,4.24,PAC-12,2022
Washington State,7,6,-0.7,4.24,3.55,41.79,6.11,8.32,5.46,4.63,3.02,6.54,4.34,PAC-12,2022
California,4,8,-2.57,1.48,-1.08,37.99,9.89,8.54,5.35,4.38,3.05,6.61,4.31,PAC-12,2022
Arizona,5,7,6.21,-7.79,-1.58,46.46,18.82,10.03,5.97,5.9,4.57,8.01,5.18,PAC-12,2022
Stanford,3,9,-3.2,-0.21,-3.41,38.2,12.57,8.57,4.97,4.5,4.78,6.51,4.88,PAC-12,2022
Arizona State,3,9,-1.68,-3.37,-5.06,40.23,13.37,9.04,5.04,4.91,4.19,6.87,4.6,PAC-12,2022
Colorado,1,11,-8.64,-3.45,-12.08,33.9,22.65,7.59,5.83,4.48,4.45,5.8,5.23,PAC-12,2022
Florida State,10,3,8.89,5.88,14.77,54.03,4.2,10.82,4.33,6.87,2.86,8.51,3.48,ACC,2022
Clemson,11,3,6.65,6.93,13.59,49.43,2.92,8.68,4.44,5.71,2.24,7,3.54,ACC,2022
Louisville,8,5,2.3,8.13,10.44,45.89,1.53,9.43,5.04,6.57,2.44,7.66,3.62,ACC,2022
Wake Forest,8,5,10.69,-1.72,8.98,53.26,12.49,10.49,5.69,4.58,2.58,7.3,4.34,ACC,2022
Pitt,9,4,6.07,1.73,7.8,47.3,8.75,8.93,5.02,5.89,2.06,7.12,3.8,ACC,2022
Duke,9,4,5.47,1.93,7.39,46.98,8.58,9.08,5.63,6.07,2.92,7.36,4.4,ACC,2022
North Carolina State,8,5,-1.53,8.28,6.75,40.99,2.15,7.96,4.52,4.67,2.24,6.23,3.58,ACC,2022
Syracuse,7,6,1.78,4.64,6.41,46.04,7.07,10.23,4.77,5.58,2.61,7.56,3.6,ACC,2022
North Carolina,9,5,9.75,-4.23,5.52,50.89,14.98,10.09,6.25,5.64,3.42,7.74,4.94,ACC,2022
Miami (FL),5,7,-3.85,0.95,-2.91,40.07,12.72,8.87,6.92,5,2.98,6.78,4.76,ACC,2022
Georgia Tech,5,7,-5.33,2.05,-3.29,35.25,10.38,7.96,5.04,5.16,3.04,6.33,3.96,ACC,2022
Boston College,3,9,-4.34,-1.33,-5.67,35.81,14.58,8.83,5.68,3.44,3.18,6.22,4.38,ACC,2022
Virginia,3,7,-6.49,0.64,-5.85,34.13,9.72,8.09,4.87,5.07,2.57,6.53,3.63,ACC,2022
Virginia Tech,3,8,-6.39,-0.38,-6.78,33.99,11.35,7.87,5.6,4.4,3,5.94,4.31,ACC,2022
Texas Christian,13,2,13.45,3.2,16.65,58.15,7.41,10.8,5.17,6.6,2.62,8.33,3.96,BIG-12,2022
Kansas State,10,4,6.86,9.3,16.16,51.64,-0.32,9.76,4.5,6.76,2.7,7.88,3.72,BIG-12,2022
Texas,8,5,6.17,9.76,15.92,53.26,-1.52,9.78,3.89,6.75,1.9,8.02,3.05,BIG-12,2022
Texas Tech,8,5,8.45,1.23,9.68,53.03,8.29,9.04,5.74,5.45,2.63,7.13,4.13,BIG-12,2022
Oklahoma,6,7,7.12,1.4,8.52,52.12,9.15,10.1,4.92,6.42,2.86,7.87,3.98,BIG-12,2022
Kansas,6,7,10.15,-3.88,6.27,54.12,14.31,10.82,5.79,6.88,3.22,8.52,4.41,BIG-12,2022
Baylor,6,7,4.72,1.47,6.19,50.25,7.79,9.52,5.03,5.89,2.32,7.3,3.76,BIG-12,2022
Iowa State,4,8,-5.02,10.73,5.71,38.16,-0.73,8.49,4.56,4.74,1.67,6.61,3.06,BIG-12,2022
Oklahoma State,7,6,3.83,1.34,5.16,48.71,9.35,8.84,4.73,4.88,3.09,6.84,4.05,BIG-12,2022
West Virginia,5,7,5.05,-2.16,2.9,49.46,12.87,8.49,6.15,6.18,2.64,7.16,4.41,BIG-12,2022
Michigan,13,1,10.53,10.06,20.59,58.59,0.22,10.44,4.28,6.88,2.21,8.2,3.4,BIG-TEN,2022
Ohio State,11,2,14.17,5.64,19.82,64.76,3.04,11.87,5.51,6.99,2.4,9.17,3.89,BIG-TEN,2022
Penn State,11,2,7.77,9.79,17.56,54.17,-0.57,9.7,3.81,6.08,1.96,7.66,3.07,BIG-TEN,2022
Illinois,8,5,-1.34,11.36,10.01,42.47,-1.61,9.1,3.98,5.33,2.33,6.85,3.27,BIG-TEN,2022
Minnesota,9,4,-0.79,9.27,8.48,45.48,0.78,10.57,4.67,5.89,2.93,7.46,3.95,BIG-TEN,2022
Iowa,8,5,-4.35,12.26,7.91,36.96,-1.81,7.94,3.38,4.29,1.8,5.85,2.71,BIG-TEN,2022
Maryland,8,5,1.99,4.69,6.68,45.56,4.78,9.42,4.45,5.15,2.74,7.15,3.66,BIG-TEN,2022
Wisconsin,7,6,-0.66,5.03,4.37,45.26,4.82,9.42,5.25,5.91,2.03,7.25,3.57,BIG-TEN,2022
Purdue,8,6,3.14,0.48,3.62,46.95,10.88,9.07,5.69,5.08,3.08,7.12,4.46,BIG-TEN,2022
Michigan State,5,7,0.39,0.58,0.98,44.82,8.73,9.09,5.99,5.35,3.06,7.21,4.35,BIG-TEN,2022
Nebraska,4,8,-0.12,-2.02,-2.14,40.88,11.95,9.95,5.05,4.8,3.43,7.01,4.29,BIG-TEN,2022
Indiana,4,8,1.44,-4.5,-3.05,42.66,15.25,7.64,5.99,4.76,2.95,6.17,4.33,BIG-TEN,2022
Rutgers,4,8,-7.53,2.44,-5.09,36.41,12.21,7.66,4.54,4.95,3.08,6.06,3.82,BIG-TEN,2022
Northwestern,1,11,-7.71,0.28,-7.43,34.25,11.55,8.25,5.06,4.68,3.5,6.21,4.18,BIG-TEN,2022
Georgia,15,0,9.99,15.49,25.48,59.26,-6.21,11.04,4.1,6.88,1.34,8.71,3.09,SEC,2022
Alabama,11,2,9.89,9.77,19.66,58.62,-1.02,10.45,3.47,6.76,2.02,8.41,2.87,SEC,2022
Tennessee,11,2,13.04,4.86,17.9,64.77,5.24,12.22,5.26,6.43,1.97,8.86,3.85,SEC,2022
LSU,10,4,6.83,6.45,13.29,53.82,2.31,10.14,4.47,6.35,2.33,8.04,3.41,SEC,2022
Mississippi State,9,4,6.17,5.67,11.84,50.9,4.36,8.67,4.14,4.9,2.42,7.15,3.39,SEC,2022
Ole Miss,8,5,6.81,1.55,8.36,52.01,8.4,10.29,4.66,6.68,2.98,8.05,3.83,SEC,2022
South Carolina,8,5,6.5,1.21,7.71,49.88,10.88,9.89,4.33,5.05,3.54,7.33,4.05,SEC,2022
Florida,6,7,6.6,0.32,6.92,49.2,8.82,10.14,5.35,6.8,2.92,8.13,4.12,SEC,2022
Kentucky,7,6,-3.12,9.17,6.05,38.68,1.14,9.78,4.45,4.73,2.87,6.76,3.67,SEC,2022
Arkansas,7,6,8.99,-3.05,5.95,50.86,11.8,10.99,6.45,6.43,3.02,8.15,4.73,SEC,2022
Missouri,6,7,0.05,4.9,4.95,41.35,5.71,8.94,4.64,5.23,2.19,6.74,3.5,SEC,2022
Auburn,5,7,3.3,0.6,3.9,45.24,9.15,9.08,4.22,6.67,3.14,7.52,3.67,SEC,2022
Texas A&M,5,7,-2.68,5.89,3.21,39.26,2.53,8.67,3.63,5.84,3.3,7.2,3.49,SEC,2022
Vanderbilt,5,7,-1.7,0.56,-1.14,41.85,16.27,8.45,6.39,5.66,3.72,6.75,5.24,SEC,2022
Oregon,11,2,8.39,10.71,19.1,59.26,-0.8,11.29,4.31,7.16,2.34,9.31,3.3,PAC-12,2023
Washington,13,0,13.17,5.19,18.35,55.41,3.6,11.05,4.28,6.06,2.71,8.85,3.58,PAC-12,2023
Arizona,9,3,7.66,4.9,12.56,50.22,5,10.5,5.23,6.13,2.38,8.41,3.71,PAC-12,2023
Oregon State,8,4,6.18,4.73,10.91,50.72,3.89,10.39,5.08,6.47,2.14,8.19,3.6,PAC-12,2023
USC,7,5,15.91,-7.62,8.29,60.45,16.63,11.44,5.89,6.44,3.33,9.1,4.42,PAC-12,2023
Utah,8,4,-2.22,10.05,7.83,41.01,-0.09,8.4,4.77,5.81,1.83,6.79,3.37,PAC-12,2023
UCLA,7,5,-3.56,9.03,5.47,40.15,1.59,8.84,4.6,5.89,1.2,7.17,3,PAC-12,2023
Washington State,5,7,4.89,-0.6,4.29,48.45,10.9,9.86,5.34,4.46,2.99,7.59,3.98,PAC-12,2023
California,6,6,7.05,-3.82,3.24,48.52,14.29,8.35,5.61,6.02,2.35,7.08,3.95,PAC-12,2023
Colorado,4,8,6.24,-5.38,0.86,47.19,16.39,9.53,5.87,3.99,3.27,7.06,4.39,PAC-12,2023
Arizona State,3,9,-6.24,1.99,-4.25,34.68,11.65,7.6,5.46,5.08,2.91,6.37,4.08,PAC-12,2023
Stanford,3,9,-3.16,-1.74,-4.9,37.4,16.39,8.58,6.01,4.94,3.31,6.74,4.48,PAC-12,2023
Florida State,13,0,7.79,10.61,18.39,53.32,-0.92,9.9,3.81,6,2.26,7.81,3.07,ACC,2023
Louisville,10,3,3.91,7.67,11.58,48.01,2.25,10.23,5.16,6.03,1.78,7.83,3.51,ACC,2023
Clemson,8,4,3.07,7.08,10.15,47.13,2.24,8.21,3.28,5.93,2.29,6.91,2.86,ACC,2023
Miami (FL),7,5,4.79,4.55,9.34,48.66,5.42,9.67,5.41,6.52,1.88,8.02,3.77,ACC,2023
Duke,7,5,3.28,5.47,8.75,45.54,3.55,8.64,4.77,6.5,2.79,7.39,3.79,ACC,2023
North Carolina,8,4,9.45,-1.5,7.96,53.01,11.44,10.42,5.51,6.49,2.86,8.3,4.15,ACC,2023
North Carolina State,9,3,2.12,5.7,7.82,43.69,3.87,8.77,4.98,5.47,2.24,6.84,3.83,ACC,2023
Virginia Tech,6,6,2.86,2,4.86,46.06,9.36,9.4,4.86,6.25,3.02,7.54,3.94,ACC,2023
Georgia Tech,6,6,6.66,-3.59,3.08,48.36,13.27,9.53,5.54,6.84,4.05,7.97,4.73,ACC,2023
Syracuse,6,6,-5.07,4.54,-0.54,40.15,8.34,8.75,5.4,5.66,2.5,6.82,4.01,ACC,2023
Pitt,3,9,-4.71,1.73,-2.99,37.58,9.45,9.06,6.05,4.68,1.97,6.79,3.69,ACC,2023
Wake Forest,4,8,-2.41,-0.69,-3.1,38.03,10.73,9.62,6.27,4.76,2.78,6.71,4.42,ACC,2023
Virginia,3,9,0.12,-3.82,-3.7,40.78,15.22,9.4,5.16,4.65,3.39,6.73,4.26,ACC,2023
Boston College,6,6,2.05,-5.77,-3.71,41.1,15.72,8.38,6.71,5.89,4.04,6.85,5.24,ACC,2023
Texas,12,1,9.52,11.85,21.37,54.45,-2.3,10.58,4.69,6.16,1.59,8.13,3.48,BIG-12,2023
Oklahoma,10,2,12.31,5.5,17.81,60.34,3.48,11.1,4.53,5.57,2.52,8,3.69,BIG-12,2023
Kansas State,8,4,9.1,6.65,15.74,55.68,3.41,9.2,4.63,6.18,3.17,7.44,4.05,BIG-12,2023
Kansas,8,4,8.02,0.96,8.98,50.34,8.42,11.24,5.58,6.55,3.2,8.27,4.29,BIG-12,2023
Iowa State,7,5,2.74,5.82,8.56,44.35,4.3,9.82,4.7,5.51,2.53,7.47,3.69,BIG-12,2023
Texas Christian,5,7,5.87,0.97,6.84,48.51,8.48,9.33,5.72,5.83,2.95,7.6,4.23,BIG-12,2023
Oklahoma State,9,4,5.69,0.35,6.04,46.82,10.88,8.36,6.52,6.05,3.21,7.18,4.83,BIG-12,2023
West Virginia,8,4,5.99,-0.1,5.89,47.96,10.41,9.51,5.84,6.44,3.18,7.57,4.53,BIG-12,2023
Texas Tech,6,6,2.68,3.1,5.78,44.26,8.04,8,4.52,5.69,3.01,6.72,3.82,BIG-12,2023
UCF,6,6,2.73,0.74,3.46,46.84,8.44,10.65,5.26,6.59,3.56,8.17,4.41,BIG-12,2023
BYU,5,7,-1.18,0.55,-0.63,40.06,11.78,7.98,5.22,4.61,3.56,6.23,4.46,BIG-12,2023
Houston,4,8,-0.33,-1.97,-2.31,40.68,13.05,8.78,6.33,5.05,2.93,6.88,4.49,BIG-12,2023
Baylor,3,9,-0.05,-4.63,-4.68,40.13,15.37,8.89,6.86,4.56,3.51,6.66,5.03,BIG-12,2023
Cincinnati,3,9,-3.1,-2.49,-5.59,40.11,13.58,8.46,6.27,6.2,4.17,7.09,5.22,BIG-12,2023
Michigan,13,0,8.33,16.15,24.48,56.35,-5.58,10.99,4.61,5.9,1.82,7.85,3.21,BIG-TEN,2023
Ohio State,11,1,5.79,15.8,21.59,50.83,-6.28,10.95,3.42,5.66,2.15,8.18,2.79,BIG-TEN,2023
Penn State,10,2,5.05,14.85,19.9,54.71,-3.98,8.45,4.49,5.95,1.19,7,2.66,BIG-TEN,2023
Maryland,7,5,6.74,2.25,8.99,48.15,8.51,9.55,5.14,5.23,2.58,7.59,3.84,BIG-TEN,2023
Iowa,10,3,-5.85,14.08,8.23,34.39,-3.34,6.88,3.48,4.82,1.74,5.63,2.74,BIG-TEN,2023
Wisconsin,7,5,-0.54,6.67,6.13,40.45,4.52,7.81,4.97,6.05,2.86,6.84,3.84,BIG-TEN,2023
Rutgers,6,6,-0.09,4.48,4.39,42.1,5.45,8.09,4.71,5.77,3.07,6.66,3.82,BIG-TEN,2023
Nebraska,5,7,-5.89,8.11,2.22,34.89,3.04,8.18,4.69,5.73,2.03,6.62,3.44,BIG-TEN,2023
Northwestern,7,5,1.08,0.86,1.94,41.18,10.13,8.97,5.61,4.36,2.99,6.39,4.2,BIG-TEN,2023
Minnesota,5,7,-0.73,0.91,0.18,39.59,11.59,8.27,5.91,5.53,3.55,6.57,4.75,BIG-TEN,2023
Illinois,5,7,4.11,-4.1,0,43.53,13.76,9.63,5.51,5.42,2.64,7.5,4.09,BIG-TEN,2023
Purdue,4,8,3.64,-3.73,-0.09,44.67,14.9,8.75,6.26,6,2.78,7.18,4.48,BIG-TEN,2023
Michigan State,4,8,-4.34,3.19,-1.15,36.42,11.86,8.48,6.23,4.48,2.95,6.42,4.49,BIG-TEN,2023
Indiana,3,9,0.48,-2.61,-2.13,41.25,13.52,8.95,6.26,4.96,3.07,6.75,4.5,BIG-TEN,2023
Georgia,12,1,8.17,9.87,18.04,54.61,-0.18,11.14,3.65,6.31,2.46,8.57,3.18,SEC,2023
Alabama,12,1,8.09,9.84,17.92,52.66,-1.01,11.87,4.04,5.83,2.16,7.98,3.12,SEC,2023
LSU,9,3,15.95,-1.18,14.77,65.36,10.77,12.99,5.57,7.73,3.33,10.16,4.64,SEC,2023
Missouri,10,2,8.29,6.47,14.76,49.64,2.64,10.98,4.71,5.72,2.5,7.97,3.59,SEC,2023
Ole Miss,10,2,6.73,5.4,12.13,51.73,5.01,11.4,4.94,5.68,2.47,8.02,3.68,SEC,2023
Texas A&M,7,5,5.11,4.75,9.86,50.61,4.06,9.8,4.96,5.32,1.73,7.37,3.28,SEC,2023
Tennessee,8,4,3.04,5.68,8.72,48.27,5.11,9.67,5.09,6.99,2.13,8.17,3.61,SEC,2023
Auburn,6,6,-1.22,6.45,5.22,42.92,3.14,8.74,4.86,6.2,3.03,7.11,3.91,SEC,2023
Kentucky,7,5,3.8,1.37,5.17,45.95,9.64,9.03,5.44,6.43,2.2,7.68,3.85,SEC,2023
Florida,5,7,3.96,-0.9,3.06,46.33,9.27,10.05,6.16,5.69,3.44,7.67,4.72,SEC,2023
South Carolina,5,7,1.22,0.9,2.13,43.83,8.05,10.23,5.44,4.3,2.39,7.32,3.85,SEC,2023
Arkansas,4,8,0.8,-0.57,0.23,42.79,11.24,8.75,5.35,4.71,3.16,6.34,4.17,SEC,2023
Mississippi State,5,7,-4.06,3.32,-0.74,37.91,7.72,7.94,4.85,5.76,2.55,6.7,3.61,SEC,2023
Vanderbilt,2,10,-1.98,-7.64,-9.62,40.03,18.89,8.6,5.64,4.64,3.89,6.65,4.86,SEC,2023