School,G,Pts,PassCmp,PassAtt,PassPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,Plays,TotYds,TotAvgYds,Pass1D,Rush1D,Pen1D,Tot1D,Penalties,PenaltyYds,Fum,Int,TotTO,Conference,Year
Utah,14,21.4,18.1,29.5,61.3,222.6,1.4,28.1,111.4,4,1.3,57.6,334.1,5.8,8.9,5.9,1,15.8,6.9,59.9,0.9,0.9,1.7,PAC-12,2022
Washington State,13,22.9,22,35.4,62.2,267.7,1.5,33.5,134.6,4,1.3,68.8,402.3,5.8,10.5,8.5,1.5,20.5,6.8,56.5,0.7,0.9,1.6,PAC-12,2022
Washington,13,25.8,20.2,32.2,62.9,251.5,2,34.5,121.2,3.5,1.1,66.6,372.7,5.6,11.2,8.2,1.9,21.2,6.1,48,0.4,0.5,0.9,PAC-12,2022
Oregon,13,27.4,22.8,35.9,63.6,256.4,1.8,29.8,124.8,4.2,1.3,65.8,381.2,5.8,12.4,7.2,2.2,21.8,4.9,42.4,0.4,1.2,1.6,PAC-12,2022
California,12,27.8,25,38.1,65.6,279.5,1.9,35.5,149.1,4.2,1.6,73.6,428.6,5.8,13.5,8.9,1,23.4,6,54,0.6,0.9,1.5,PAC-12,2022
UCLA,13,29,24.5,37.4,65.4,273,1.9,34.2,130.3,3.8,1.4,71.5,403.3,5.6,12.2,8.8,1.7,22.8,5.5,47.5,0.5,0.8,1.4,PAC-12,2022
USC,14,29.2,20.9,32.9,63.7,264.1,1.8,32.1,159.8,5,2.1,64.9,423.9,6.5,11.6,8.6,2,22.1,5.9,49.9,0.8,1.4,2.1,PAC-12,2022
Arizona State,12,31.4,20.5,33.8,60.6,233.4,1.2,36.3,188.1,5.2,2.6,70.1,421.5,6,11.5,10,2.5,24,5.6,54.5,0.1,0.9,1,PAC-12,2022
Stanford,12,32.2,16.9,29.3,57.8,209.7,1.8,36.9,224.4,6.1,2.1,66.2,434.1,6.6,8.9,11.3,1.9,22.1,6.3,60,0.4,0.5,0.9,PAC-12,2022
Arizona,12,36.5,23.3,33.4,69.8,258.6,2.1,37.4,209.1,5.6,2.8,70.8,467.7,6.6,11.6,11.7,2.5,25.8,5.1,49.1,1,0.3,1.3,PAC-12,2022
Colorado,12,44.5,20.4,30.4,67.1,264.7,2.6,40.4,245.1,6.1,3.3,70.8,509.8,7.2,12.1,12.5,1.2,25.8,6,53.5,0.4,0.5,0.9,PAC-12,2022
Louisville,13,19.2,16.2,27.8,58.3,197,1.3,37.4,133.2,3.6,1,65.2,330.2,5.1,8.1,8.5,1.8,18.3,7.8,55.7,1.2,1.2,2.3,ACC,2022
North Carolina State,13,19.2,20.3,35.5,57.3,226.2,1.2,30,100.7,3.4,1,65.5,326.9,5,9.6,5,1.9,16.5,7.6,64.6,0.2,1.5,1.7,ACC,2022
Florida State,13,20.6,15.2,26.8,56.4,165.4,1.4,39.5,156.4,4,1.1,66.4,321.8,4.8,8.2,9,1.8,19.1,7.4,62.7,0.6,0.6,1.2,ACC,2022
Clemson,14,20.9,21.4,34.9,61.3,231.7,1.5,31.6,102.7,3.3,0.9,66.4,334.4,5,10.2,6.4,1.8,18.4,6.1,59.9,0.6,0.9,1.5,ACC,2022
Duke,13,22.1,21.8,35.8,60.9,257.3,1.9,32.7,121.2,3.7,0.8,68.5,378.5,5.5,11.8,7.6,1.4,20.8,5,49.6,1.2,0.8,2,ACC,2022
Syracuse,13,23.1,18.9,28.4,66.7,184.8,1.4,38.7,143.8,3.7,1.3,67.1,328.6,4.9,8.8,9.3,1.2,19.3,6.5,56,0.7,0.8,1.5,ACC,2022
Virginia,10,24,19.1,31.2,61.2,204.4,1,40.7,153.2,3.8,1.2,71.9,357.6,5,10.4,8.5,2,20.9,6.8,59,0.8,0.5,1.3,ACC,2022
Pitt,13,24.3,19.3,34.5,55.9,231.9,1.8,29.5,98,3.3,1,64.1,329.9,5.1,9.8,5.5,2.3,17.5,5.5,48.6,0.6,1.1,1.7,ACC,2022
Virginia Tech,11,24.7,20.2,34,59.4,235.2,1.2,34.6,135.2,3.9,1.4,68.6,370.4,5.4,9.7,8,2.5,20.3,6.3,54.2,0.5,0.4,0.8,ACC,2022
Miami (FL),12,26.8,17,27.9,60.9,233.7,1.7,35.5,142.9,4,1.5,63.4,376.6,5.9,8.9,7.8,1.8,18.6,6.1,55,0.7,1.2,1.8,ACC,2022
Wake Forest,13,28.3,21.6,35.9,60.2,269.7,2.2,35.7,136.8,3.8,1.1,71.6,406.5,5.7,11.4,8.1,1.2,20.6,7.2,64.2,0.7,0.5,1.2,ACC,2022
Georgia Tech,12,28.4,17.8,30.5,58.2,212.4,1.4,41.7,188.6,4.5,1.7,72.2,401,5.6,9.6,10.7,2.6,22.8,7.1,61.3,1.1,0.9,2,ACC,2022
Boston College,12,30.3,17.1,29,58.9,211.2,1.6,38.2,166.7,4.4,2.1,67.2,377.8,5.6,9.7,8.3,2.1,20,6.8,51.9,0.7,0.6,1.3,ACC,2022
North Carolina,14,30.8,22.6,34.4,65.8,271.3,1.9,36.6,165.2,4.5,2.1,71.1,436.5,6.1,12.1,8.9,2.1,23,6.3,51.4,0.4,0.6,1,ACC,2022
Iowa State,12,20.3,15.8,26.8,59,178.3,1.7,33.6,107.3,3.2,0.7,60.4,285.6,4.7,7.5,6.6,1.6,15.7,4.8,42.2,0.7,0.6,1.3,BIG-12,2022
Texas,13,21.6,24.2,38.5,62.9,242.7,1.4,36.1,125.7,3.5,1.1,74.6,368.4,4.9,12.2,7.3,1.7,21.2,5.8,44.6,0.3,0.8,1.1,BIG-12,2022
Kansas State,14,21.9,19.3,33.1,58.3,224.4,1.5,34.6,150.8,4.4,1.1,67.7,375.1,5.5,9.9,7.5,1.6,18.9,5.9,45.6,0.6,1.1,1.8,BIG-12,2022
Baylor,13,26.8,18.8,30.9,60.9,222.8,1.3,38.2,148.2,3.9,1.9,69.1,371,5.4,10,9.5,1.5,20.9,5.3,41.8,0.5,1,1.5,BIG-12,2022
Oklahoma State,13,28.9,22,38.3,57.4,257.7,1.8,38,178,4.7,1.8,76.3,435.7,5.7,11.5,8.3,1.2,21,5.9,53.3,0.5,1,1.5,BIG-12,2022
TCU,15,29,18.9,34.3,55.3,249.7,1.7,37.2,158.5,4.3,1.9,71.5,408.2,5.7,10.8,8.8,1.6,21.2,5.2,42.7,0.4,1.1,1.5,BIG-12,2022
Texas Tech,13,29.2,19.3,32.7,59.1,256.8,1.8,39.7,168.8,4.3,1.4,72.4,425.5,5.9,10.2,8.7,1.6,20.5,6.2,57.1,0.7,0.8,1.5,BIG-12,2022
Oklahoma,13,30,23.8,38.4,61.9,273.5,1.5,41.8,187.5,4.5,2.2,80.2,461,5.7,13.3,10.7,1.8,25.8,4.9,40.6,0.3,1.3,1.6,BIG-12,2022
West Virginia,12,32.9,19.1,32.2,59.3,262.7,1.8,36.2,149.6,4.1,2,68.3,412.3,6,11.3,8.5,1.8,21.7,6,58.5,0.5,0.3,0.8,BIG-12,2022
Kansas,13,35.5,21.3,32.9,64.7,260.2,1.6,43.4,209.2,4.8,2.8,76.3,469.4,6.2,11.9,11,1.9,24.8,4.8,39.5,0.8,0.9,1.7,BIG-12,2022
Illinois,13,12.8,16.4,31.9,51.3,173.8,0.7,30.4,99.8,3.3,0.5,62.3,273.5,4.4,8.2,5.2,2,15.3,4.9,46.5,0.6,1.8,2.5,BIG-TEN,2022
Iowa,13,13.3,18.8,32.2,58.6,169.5,1,35.8,101.3,2.8,0.3,67.9,270.8,4,7.6,7,1,15.6,4.9,40,0.6,1.2,1.8,BIG-TEN,2022
Minnesota,13,13.8,17.6,30.2,58.3,185.7,0.6,28.9,109,3.8,0.8,59.2,294.7,5,8.4,6.1,0.8,15.3,4.9,41.4,0.3,1.1,1.4,BIG-TEN,2022
Michigan,14,16.1,18.3,32.7,55.9,194.2,0.8,30.1,97.9,3.3,0.7,62.8,292.1,4.7,8.9,5.6,1,15.4,4.4,44.9,0.3,1,1.3,BIG-TEN,2022
Penn State,13,18.2,19.1,36.6,52.1,212.3,0.9,33.5,111.2,3.3,1.1,70.2,323.5,4.6,9.3,7.2,1.6,18.1,6.1,50.1,0.9,1.1,2,BIG-TEN,2022
Wisconsin,13,20.2,17.1,28.9,59,204.3,1.4,34.1,99.2,2.9,1.1,63,303.5,4.8,9.1,5.4,1.5,15.9,4.5,43.8,0.2,1.3,1.5,BIG-TEN,2022
Ohio State,13,21,16.3,27.7,58.9,200.5,1.5,34.4,121.1,3.5,0.9,62.1,321.5,5.2,7.8,5.6,1.5,15,5.4,45.4,0.5,0.8,1.4,BIG-TEN,2022
Maryland,13,23.2,20.5,35.9,57.2,223.3,1.3,35.3,133.8,3.8,1.2,71.2,357.1,5,10.2,7.5,3,20.6,5.3,46.8,0.5,0.7,1.2,BIG-TEN,2022
Michigan State,12,27.4,19.9,30,66.4,237.9,2.2,41.7,178.6,4.3,1.2,71.7,416.5,5.8,11.7,9.5,1.5,22.7,7.4,63.3,0.8,0.2,1,BIG-TEN,2022
Purdue,14,27.4,17,29.6,57.3,224.9,2,33.9,142,4.2,1.4,63.6,366.9,5.8,9.6,6.8,1.9,18.3,5.9,57.5,0.4,1.1,1.5,BIG-TEN,2022
Nebraska,12,27.6,20.3,34,59.6,225.3,1.5,41.6,189.1,4.5,1.8,75.6,414.4,5.5,10.8,11.1,1.2,23,5.7,53.2,0.6,0.8,1.3,BIG-TEN,2022
Northwestern,12,28.3,15.4,26,59.3,183.4,1.4,41.4,191.3,4.6,2,67.4,374.8,5.6,8.2,10.4,1.8,20.3,4.8,43.3,0.5,0.5,1,BIG-TEN,2022
Rutgers,12,29.3,18.7,31.8,58.8,206.8,1.3,35.8,142.8,4,1.9,67.5,349.7,5.2,9.3,8.1,2.3,19.7,5.8,46.3,0.4,0.8,1.2,BIG-TEN,2022
Indiana,12,33.9,21.8,34.1,64.1,274.2,2.5,42.2,174.7,4.1,1.6,76.3,448.8,5.9,12.4,8.7,1.9,23,7.4,67.2,0.6,0.6,1.2,BIG-TEN,2022
Georgia,15,14.3,19.6,34.1,57.5,219.7,1,26.7,77.1,2.9,0.5,60.8,296.8,4.9,9.4,4.5,1.6,15.5,5.5,40.8,0.5,0.8,1.3,SEC,2022
Alabama,13,18.2,18.3,33.4,54.8,187.8,0.9,35.9,130.4,3.6,1.2,69.3,318.2,4.6,8.8,7.2,2.6,18.5,6.7,51,0.5,0.5,1.1,SEC,2022
Kentucky,13,19.2,15.8,26.7,59.4,170.8,0.8,33.3,140.6,4.2,1.2,60,311.4,5.2,7.5,6.6,1,15.2,5.7,49.5,0.5,0.8,1.3,SEC,2022
Texas A&M,12,21.2,15.3,27.3,56.3,156.2,1.3,43.3,208.8,4.8,1.1,70.6,365,5.2,7.9,10.8,2.1,20.8,7,60.9,1,0.3,1.3,SEC,2022
LSU,14,22.5,16.9,30.2,55.8,206.2,1.2,36.2,148.4,4.1,1.3,66.4,354.6,5.3,9.1,8.4,1.4,18.9,5.9,56.4,0.8,0.6,1.4,SEC,2022
Tennessee,13,22.8,25.6,40.9,62.6,289.5,1.6,35.3,115.8,3.3,1.2,76.2,405.3,5.3,13.7,7.4,2.5,23.6,8.5,67.4,0.8,0.8,1.6,SEC,2022
Mississippi State,13,23.1,19.5,32.5,59.8,210.3,1.2,34.3,134.2,3.9,1.5,66.8,344.5,5.2,8.5,7.4,2.5,18.4,6.5,49.5,0.7,1.1,1.8,SEC,2022
Missouri,13,25.2,18.1,30.3,59.6,214.4,1.4,34.4,125.5,3.7,1.5,64.7,339.9,5.3,8.9,7.5,2.2,18.6,5.4,42.5,0.5,0.8,1.4,SEC,2022
Ole Miss,13,25.5,21.1,33.2,63.6,219.8,1.7,39.7,168,4.2,1.4,72.8,387.8,5.3,9.8,9.6,1.8,21.3,5.9,47.1,0.9,0.6,1.5,SEC,2022
Florida,13,28.8,18.5,30.5,60.6,235.8,1.3,39,175.2,4.5,2.2,69.5,411,5.9,10.8,10.4,1.6,22.8,5.6,44.4,1.2,0.7,1.8,SEC,2022
South Carolina,13,28.8,16.7,31.1,53.7,206.7,1.8,40.2,198,4.9,1.8,71.2,404.7,5.7,9.4,10.7,2.4,22.5,6.5,54,0.6,1.2,1.8,SEC,2022
Auburn,12,29.5,19.8,34.3,57.8,222.7,1.3,37.3,172.7,4.6,2.3,71.6,395.3,5.5,10,9.1,1.4,20.5,7.6,58.3,0.6,0.5,1.1,SEC,2022
Arkansas,13,30.6,21.2,34.5,61.2,294.7,1.8,37.5,170.5,4.6,2,72,465.2,6.5,12,8.6,2.1,22.7,7.2,59,0.7,0.7,1.4,SEC,2022
Vanderbilt,12,36,21.4,33.3,64.4,290.5,2.4,33.1,170.8,5.2,2.1,66.3,461.3,7,12.1,7.5,1.8,21.3,6,54.8,0.8,0.5,1.3,SEC,2022
Oregon,13,17.3,21.6,36,60,222.8,1.2,28.7,97.5,3.4,0.8,64.7,320.3,5,10.2,5.9,2.2,18.3,5.5,44.2,0.4,0.8,1.2,PAC-12,2023
UCLA,12,18.1,21.8,35.8,60.8,229.4,1.3,29.9,69.6,2.3,0.3,65.7,299,4.6,10.4,5,1.9,17.3,5.7,49.7,0.8,1.2,1.9,PAC-12,2023
Utah,12,19.8,18.5,31.8,58.1,224.3,1.3,26.2,84.3,3.2,1.1,58,308.6,5.3,9.5,4.3,1.3,15.1,7.3,55.3,0.6,0.7,1.3,PAC-12,2023
Arizona,12,20.8,19.3,32.3,59.8,229.6,1.1,32.3,111.3,3.4,1.5,64.7,340.9,5.3,10.3,6.7,2.3,19.3,7.1,62.5,0.6,0.5,1.1,PAC-12,2023
Oregon State,12,21.5,20.8,33.9,61.2,236.2,1.7,30.4,104.1,3.4,1,64.3,340.3,5.3,10.3,7.4,2,19.7,5.4,38.8,0.6,1,1.6,PAC-12,2023
Washington,13,23.6,23.9,40.1,59.7,263.2,1.7,31.4,133.8,4.3,1.4,71.5,396.9,5.6,11.5,8.2,2.9,22.5,6.5,60,0.2,1.2,1.4,PAC-12,2023
Washington State,12,28.1,20.1,33.3,60.4,238.6,1.2,35.4,150.8,4.3,2.2,68.7,389.4,5.7,10.2,8,1.9,20.1,6.4,54.1,0.6,0.7,1.3,PAC-12,2023
Arizona State,12,31.8,22.6,34.9,64.7,263.3,2.3,31.8,133.5,4.2,1.3,66.7,396.8,6,11.7,7.6,1.6,20.8,7.3,60.2,0.3,0.4,0.8,PAC-12,2023
California,12,32.7,23.3,36.8,63.1,282.5,2.3,34.9,133.9,3.8,1.8,71.8,416.4,5.8,12.2,7.4,1,20.6,6.7,63.8,1.2,0.9,2.1,PAC-12,2023
Colorado,12,34.8,22.4,34.8,64.5,276.9,2.3,37.6,176.4,4.7,2,72.3,453.3,6.3,13.3,9.3,2.1,24.6,7.8,73.6,0.8,0.8,1.7,PAC-12,2023
USC,12,34.9,20.5,32.7,62.8,255.2,2.6,38.4,183.7,4.8,1.8,71.1,438.8,6.2,10.8,9.3,2.6,22.8,6.5,55.5,0.6,0.6,1.2,PAC-12,2023
Stanford,12,37.7,23.3,35.3,66.2,298,2.7,35,163.7,4.7,2.4,70.3,461.7,6.6,13.2,10.5,1.6,25.3,6.9,65.4,0.3,0.7,0.9,PAC-12,2023
Florida State,13,15.9,13.9,29.8,46.8,170.4,0.6,35.5,135.3,3.8,0.9,65.3,305.7,4.7,7.1,7.2,2.2,16.4,7.5,62.3,0.5,0.8,1.3,ACC,2023
Louisville,13,19.7,16,29.5,54.3,205.4,1.2,30.8,101.9,3.3,1,60.2,307.3,5.1,8.2,5.9,1.5,15.6,6,51.2,0.5,0.9,1.5,ACC,2023
Duke,12,19.8,19.8,31.6,62.8,208.3,0.9,37.3,146.3,3.9,1.2,68.8,354.6,5.2,10.5,8.8,1.1,20.4,6.4,57.3,0.4,0.8,1.2,ACC,2023
Clemson,12,19.9,16.3,31.1,52.5,162.2,0.9,31.1,116.5,3.7,1.3,62.2,278.7,4.5,7,5.8,1.6,14.4,5.6,48,0.8,1.2,2,ACC,2023
North Carolina State,12,20.2,18.7,32.5,57.4,218.8,1.5,28.3,104.8,3.7,0.9,60.8,323.5,5.3,9.7,5.4,1.5,16.6,6.3,57.3,0.6,1.4,2,ACC,2023
Miami (FL),12,22.1,18.2,31.8,57.2,227,1.3,30.6,97.1,3.2,1.3,62.3,324.1,5.2,9.3,5.9,1.9,17.2,5.9,49.3,0.5,1,1.5,ACC,2023
Syracuse,12,23.8,20.6,32.8,62.7,231.3,1.5,38,147.1,3.9,1.3,70.8,378.3,5.3,9.5,9.4,2.5,21.4,5.2,51,1,0.8,1.8,ACC,2023
Virginia Tech,12,24.3,16.3,26.7,60.9,172.9,1.3,35.5,149.3,4.2,1.7,62.2,322.2,5.2,7.8,7.6,1.8,17.1,5.8,46.4,0.5,0.6,1.1,ACC,2023
North Carolina,12,27.1,21.3,34,62.7,242.3,1.6,39.5,163.1,4.1,1.7,73.5,405.4,5.5,11.9,8.8,2.2,22.9,6.8,55,0.8,1,1.8,ACC,2023
Wake Forest,12,27.2,18.2,29.5,61.6,232.3,2,36.7,154.3,4.2,1.1,66.2,386.7,5.8,9.9,7.6,1.2,18.7,6.7,63,0.7,0.7,1.3,ACC,2023
Pitt,12,27.3,16.4,26.4,62.1,211.4,1.3,41.1,150.2,3.7,1.7,67.5,361.6,5.4,9.1,8.4,2.5,20,5.7,53.5,0.5,0.8,1.3,ACC,2023
Boston College,12,29.5,14.2,23.8,59.4,197.7,1.5,35.9,193.8,5.4,2.4,59.8,391.4,6.6,8.8,8.2,1.8,18.8,6,48.1,0.7,0.7,1.3,ACC,2023
Georgia Tech,12,30.5,17.3,27.9,62.1,212.5,1.3,41.8,225.7,5.4,2.3,69.7,438.2,6.3,9,11.8,1.6,22.3,6.5,58.6,0.8,1.1,1.9,ACC,2023
Virginia,12,33.8,19.3,31.5,61.4,224.8,1.6,36.2,184.5,5.1,2.3,67.7,409.3,6,9.9,9.9,1.8,21.6,5.8,56.3,0.5,0.7,1.2,ACC,2023
Texas,13,17.5,21.4,35.7,59.9,240.8,1.5,28.2,80.8,2.9,0.5,63.8,321.7,5,10.7,5.1,1.4,17.2,4.5,34.3,0.5,1.2,1.8,BIG-12,2023
Kansas State,12,21.2,19.4,34.1,57,230.2,1.3,30.8,140.2,4.5,1.1,64.9,370.3,5.7,9.9,6.1,1.3,17.3,5.8,52.8,0.8,1,1.8,BIG-12,2023
Iowa State,12,21.7,18.8,34.5,54.6,217.7,1.4,35.3,131.6,3.7,0.9,69.8,349.3,5,10,7.8,2.1,19.8,4.5,38.8,0.3,1.3,1.6,BIG-12,2023
Oklahoma,12,22.3,20.4,36.3,56.2,242.2,1.3,36.3,147.8,4.1,1.1,72.6,389.9,5.4,10.8,7.6,1.9,20.3,6,48.5,0.5,1.6,2.1,BIG-12,2023
UCF,12,25.4,16.9,29.4,57.5,205.8,0.9,38.6,186.8,4.8,2,68,392.7,5.8,10.2,10.2,1.5,21.8,4.7,39.8,0.3,0.9,1.3,BIG-12,2023
Kansas,12,25.8,19.1,28.9,66,210.5,1.1,37.3,167.1,4.5,2,66.3,377.6,5.7,10.2,8.7,1.5,20.3,5,46.7,0.3,1,1.3,BIG-12,2023
Texas Tech,12,27,20.4,34.2,59.8,226.5,1.3,37.3,167.7,4.5,1.5,71.5,394.2,5.5,10.6,8.8,1.8,21.1,5.4,45.9,0.3,0.8,1.1,BIG-12,2023
West Virginia,12,27.5,19.4,32.5,59.7,239.9,2.1,33.2,144.3,4.4,1.3,65.7,384.3,5.9,10.6,8.3,1,19.8,6.2,56.4,0.3,0.8,1.1,BIG-12,2023
TCU,12,27.8,19.9,33.3,59.8,253.7,1.3,38.9,154.7,4,1.8,72.3,408.3,5.7,10.3,8.5,2.3,21.1,4.9,38.8,0.3,0.7,1,BIG-12,2023
Oklahoma State,13,29,19.1,31.4,60.8,267.5,2.1,37.5,174,4.6,1.6,68.8,441.5,6.4,10.2,8.8,1,20,5.9,47.2,0.7,0.9,1.6,BIG-12,2023
Brigham Young,12,29.8,20.8,34,61.3,240,1.8,36.6,177.7,4.9,1.5,70.6,417.7,5.9,11.2,9.1,1.4,21.7,7.4,61,0.5,1.2,1.7,BIG-12,2023
Cincinnati,12,30,15.5,27.3,56.7,225.8,1.7,33.1,176.9,5.3,2,60.4,402.8,6.7,8.8,9.1,1.9,19.8,5,36.4,0.4,0.7,1.1,BIG-12,2023
Houston,12,31.5,21.9,32,68.5,255.3,1.8,38.9,168.6,4.3,2.3,70.9,423.9,6,11.9,9.9,1,22.8,5.3,47.3,0.4,0.8,1.2,BIG-12,2023
Baylor,12,33.3,17.8,27.3,64.9,236.4,1.8,36.7,184.9,5,2.3,64,421.3,6.6,10.8,8.7,0.7,20.1,4.8,42.4,0.8,0.6,1.3,BIG-12,2023
Michigan,13,9.5,14.3,26.2,54.5,152.6,0.5,29.8,86.6,2.9,0.5,56,239.2,4.3,6.8,5.2,0.8,12.7,5.2,43.1,0.6,1.2,1.8,BIG-TEN,2023
Ohio State,12,11,15.6,29.8,52.2,147.4,0.7,33.3,112.5,3.4,0.4,63.1,259.9,4.1,7.5,6.3,1.6,15.3,4.6,40.8,0.3,0.6,0.9,BIG-TEN,2023
Penn State,12,11.4,14.4,24.9,57.9,153.6,0.6,32.3,69.7,2.2,0.8,57.2,223.3,3.9,6.6,4.6,1.4,12.6,5.5,43.7,1,1,2,BIG-TEN,2023
Iowa,13,13.2,19.5,34.8,56,172.2,0.8,34.2,102.5,3,0.3,68.9,274.8,4,8.5,6.2,1.1,15.8,6.3,53.7,0.4,0.8,1.2,BIG-TEN,2023
Nebraska,12,18.3,20.4,34.3,59.5,210.6,1.2,31.3,92.9,3,0.8,65.7,303.5,4.6,9.8,5.5,1.3,16.6,5.9,52.6,0.4,0.8,1.2,BIG-TEN,2023
Wisconsin,12,18.9,18.6,31,59.9,193.4,1.3,36,138.3,3.8,0.9,67,331.7,5,9.2,7.4,1.3,17.9,5.7,47.9,0.3,1,1.3,BIG-TEN,2023
Rutgers,12,21,16.9,28.5,59.4,175.9,1.3,34.3,137.8,4,1.2,62.8,313.7,5,7.4,9.1,1.6,18.1,3.9,36.3,0.8,0.7,1.4,BIG-TEN,2023
Maryland,12,23.3,17.9,31,57.8,207.3,1.3,37.1,129.6,3.5,1.1,68.1,336.9,4.9,9.6,8.9,2.2,20.7,6.2,55.6,0.4,1.3,1.7,BIG-TEN,2023
Northwestern,12,23.8,18.6,28.7,64.8,192.1,1.3,37.8,159.5,4.2,1.6,66.4,351.6,5.3,8.7,9.1,1.1,18.8,4.3,38.4,0.7,0.9,1.6,BIG-TEN,2023
Minnesota,12,26.9,18.6,29.4,63.2,219.2,1.8,32.8,154.7,4.7,1.4,62.2,373.8,6,9.6,7.8,1.3,18.6,5.4,51,0.6,1,1.6,BIG-TEN,2023
Michigan State,12,28.3,18.8,30.5,61.7,237.8,2,36.7,151,4.1,1.2,67.2,388.8,5.8,10.2,8.8,2.3,21.2,4.7,47.9,0.6,0.8,1.3,BIG-TEN,2023
Illinois,12,29.4,20.1,33.3,60.4,228.1,1.8,38.3,149.2,3.9,1.6,71.5,377.3,5.3,10.9,8.7,2.8,22.3,5.7,47.8,0.7,0.6,1.3,BIG-TEN,2023
Indiana,12,29.9,18.5,30.4,60.8,237.8,2.1,37.3,156.3,4.2,1.5,67.8,394.1,5.8,10.3,9,1.8,21,6.5,60.1,0.3,0.8,1.1,BIG-TEN,2023
Purdue,12,30.4,16.8,30.8,54.3,241.5,1.8,35.9,140.6,3.9,1.8,66.8,382.1,5.7,10.4,7.2,2.3,19.9,5.9,49.8,0.7,0.8,1.5,BIG-TEN,2023
Georgia,13,16.6,17.2,30.7,56.1,177.7,1,30.5,117.5,3.9,1,61.2,295.2,4.8,8.2,6.9,1.2,16.4,5.2,38.5,0.1,0.9,1,SEC,2023
Alabama,13,18.4,17.5,29.7,59.1,188.8,1.1,33.7,124.5,3.7,1.1,63.4,313.3,4.9,7.9,6.9,1.5,16.4,5.4,40.3,0.5,0.9,1.4,SEC,2023
Texas A&M,12,21.3,15.2,26.3,57.8,188.3,1.4,32.7,106.7,3.3,0.6,58.9,295,5,8.5,5.5,1.4,15.4,8.6,75.8,0.3,0.6,0.9,SEC,2023
Auburn,12,21.9,16.8,27.8,60.7,201.7,1.4,35.9,159.4,4.4,1.2,63.7,361.1,5.7,8.2,8.3,0.8,17.3,7,58.2,0.5,0.9,1.4,SEC,2023
Tennessee,12,22,21.8,32.4,67.1,234.9,1.3,35.6,113.8,3.2,1.1,68,348.7,5.1,10.2,6.5,2.8,19.4,5.6,40.2,0.4,0.8,1.3,SEC,2023
Missouri,12,22.3,20,31.8,62.8,222.2,1.8,32.3,125,3.9,0.7,64.2,347.2,5.4,9.5,7.1,1.9,18.5,7.4,60.8,0.8,0.8,1.5,SEC,2023
Ole Miss,12,22.3,19.3,31.2,62,220,1.2,39,151.9,3.9,1.6,70.2,371.9,5.3,10.2,8.3,1.8,20.3,5.6,47.6,0.3,1,1.3,SEC,2023
Kentucky,12,24.8,21.8,32.4,67.1,238.5,1.7,34.3,113.9,3.3,1.3,66.7,352.4,5.3,11.3,7.3,1.5,20.1,6.6,60.5,0.6,0.8,1.4,SEC,2023
South Carolina,12,26.3,20.4,33.4,61.1,246.3,1.3,38.5,149.4,3.9,1.6,71.9,395.7,5.5,10.5,9.3,1.4,21.3,5.6,44.2,0.6,0.8,1.4,SEC,2023
Mississippi State,12,26.6,19.3,28.3,67.9,204.7,1.8,37.4,145.9,3.9,1.2,65.8,350.6,5.3,8.6,8.2,1.6,18.3,5.6,45.5,0.4,0.6,1,SEC,2023
Florida,12,27.6,16.3,27.2,59.8,226.7,1.5,32.2,155.6,4.8,1.8,59.3,382.3,6.4,9.2,7,1.5,17.7,6,46,0.3,0.3,0.6,SEC,2023
LSU,12,27.8,20.1,31.7,63.4,245.4,1.7,35.7,163.8,4.6,1.9,67.3,409.2,6.1,10.8,9.1,1.1,21,7.1,57.8,0.3,0.8,1.1,SEC,2023
Arkansas,12,27.9,16,26.5,60.4,202.8,1.9,36.4,154.4,4.2,1.1,62.9,357.2,5.7,8.6,8.3,1.9,18.8,5.4,42.9,0.4,1,1.4,SEC,2023
Vanderbilt,12,36.2,24.2,35.1,68.9,279.6,2.2,34.4,175.3,5.1,1.9,69.5,454.9,6.5,12.6,8.5,1.3,22.4,7.3,61.8,0.3,1,1.3,SEC,2023